"Part;""Value"";""Device"";""Package"";""Description"";""AUTOMOTIVE"";""CENTROID_NOT_SPECIFIED"";""DATASHEET"";""DESCRIPTION"";""DEVICE_CLASS_L1"";""DEVICE_CLASS_L2"";""DEVICE_CLASS_L3"";""DIGIKEY_DESCRIPTION"";""DIGIKEY_PART_NUMBER"";""FOOTPRINT_VARIANT_NAME_0"";""FORWARD_CURRENT"";""HEIGHT"";""LEAD_FREE"";""LIB_STATUS"";""MAX_JUNCTION_TEMP"";""MAX_REPETITIVE_REVERSE_VOLTAGE"";""MAX_SURGE_FORWARD_CURRENT"";""MF"";""MFG_PACKAGE_IDENT"";""MFG_PACKAGE_IDENT_COMPONENT_ID"";""MFG_PACKAGE_IDENT_DATE"";""MFG_PACKAGE_IDENT_REV"";""MFN"";""MFR"";""MOUSER_DESCRIPTION"";""MOUSER_PART_NUMBER"";""MPN"";""OUR-STOCK"";""OUR_STOCK"";""PACKAGE"";""PART_VALUE"";""PEAK_REVERSE_CURRENT"";""PREFIX"";""PRICE-1"";""PRICE_1"";""ROHS"";""STANDOFF_HEIGHT"";""STOCK"";""SUPPLIER-1"";""SUPPLIER-PN"";""TECHNOLOGY"";""TEMPERATURE_RANGE_HIGH"";""VERIFICATION_VERSION"";",,,,,,,,
"C101;""R49AN347050B1M"";""R49AN347050B1M"";""R49AN347050B1M"";""0.47µF X Cap 330V 800V Polypropylene (PP)"," Metallized Radial"";"""";"""";"""";""Film",X1,470nF/330Vac,"THT"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""R49AN347050B1M"";""Kemet"";"""";"""";"""";"""";""8"";"""";""470nF/330VAC"";"""";"""";""1.51"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,
"C102;""860011378008"";""860011378008"";""RADIAL_D13.0P5.0H25.0"";""Aluminium Electrolytic Capacitor", WCAP-ATG8 Series, 33 F,20%, 400 V, 13 mm," Radial Leaded"";"""";"""";"""";""Electrolytic Cap 33µF 400V 13mm Radial WCAP-ATG8"";"" Lifetime 2000h +85°C"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""860011378008"";""Wurth Elektronik"";"""";"""";"""";"""";""4"";"""";""33uF/400V"";"""";"""";"""";"""";"""";"""";"""";""Digikey"";"""";"""";"""";",,
"C103;""860011378008"";""860011378008"";""RADIAL_D13.0P5.0H25.0"";""Aluminium Electrolytic Capacitor", WCAP-ATG8 Series, 33 F,20%, 400 V, 13 mm," Radial Leaded"";"""";"""";"""";""Electrolytic Cap 33µF 400V 13mm Radial WCAP-ATG8"";"" Lifetime 2000h +85°C"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""860011378008"";""Wurth Elektronik"";"""";"""";"""";"""";""4"";"""";""33uF/400V"";"""";"""";"""";"""";"""";"""";"""";""Digikey"";"""";"""";"""";",,
"C104;""50PX470MEFC10X20"";""50PX470MEFC10X20"";""CAPACITOR-ELKO-RM5-10X16"";""Electrolytic Cap", 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,"5mm"";"""";"""";"""";""470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""50PX470MEFC10X20"";""Rubicon"";"""";"""";"""";"""";""20"";"""";""470uF/50V"";"""";"""";""0.14"";"""";"""";"""";"""";""LCSC"";"""";""THT"";"""";"""";"
"C105;""50PX470MEFC10X20"";""50PX470MEFC10X20"";""CAPACITOR-ELKO-RM5-10X16"";""Electrolytic Cap", 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,"5mm"";"""";"""";"""";""470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""50PX470MEFC10X20"";""Rubicon"";"""";"""";"""";"""";""20"";"""";""470uF/50V"";"""";"""";""0.14"";"""";"""";"""";"""";""LCSC"";"""";""THT"";"""";"""";"
"C106;""50PX470MEFC10X20"";""50PX470MEFC10X20"";""CAPACITOR-ELKO-RM5-10X16"";""Electrolytic Cap", 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,"5mm"";"""";"""";"""";""470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""50PX470MEFC10X20"";""Rubicon"";"""";"""";"""";"""";""20"";"""";""470uF/50V"";"""";"""";""0.14"";"""";"""";"""";"""";""LCSC"";"""";""THT"";"""";"""";"
"C107;""100nF/50V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C108;""1uF/35V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C109;""100nF/50V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C110;""100nF/50V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C111;""10uF/25V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C112;""10uF/25V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C113;""10uF/25V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
