"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"ROHS";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"5";"0603ESDA-24N";"0603ESDA-24N";"0603";"V2, V3, V6, V7, V8";"";"";"";"";"";"";"";"Varistor 0603 SMD Bidirectional 50V 24V";"";"";"";"";"";"";"";"";"";"";"";"";"";"0603ESDA-24N";"BORN";"";"";"";"";"";"";"";"";"";"";"";"";"0.01";"";"LCSC";"";"";"";"";"";
"4";"0R 1%";"R_0603";"R0603";"R53, R55, R68, R94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0R 1%";"R_1206";"R1206";"R85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"R_Open_1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100K 1%";"R_0603";"R0603";"R20, R23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100K 1%";"R_1206";"R1206";"R51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"R_Open_1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"100R 1%";"R_0603";"0603";"R5, R13, R27, R30, R31, R35, R38, R39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20";"100R 1%";"R_0603";"R0603";"R42, R49, R50, R52, R56, R60, R64, R70, R72, R74, R76, R78, R80, R82, R87, R88, R89, R90, R96, R97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100R 1%";"R_1206";"R1206";"R18, R21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"R_Open_1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"100nF/ 100V";"C_0603";"0603";"C5, C12, C13, C17, C19, C21, C23, C49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100nF/100V";"C_0603";"0603";"C8, C9, C10, C11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"100nF/100V";"";"";"";"";"";"";"";"";"";"";"";
"8";"100nF/100V";"C_0603";"0603";"C3, C4, C6, C7, C24, C25, C38, C39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24";"100nF/50V";"C_0603";"0603";"C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C41, C50, C51, C53, C55, C56, C57, C58, C59, C60, C61, C63, C66, C68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14";"10K 1%";"R_0603";"0603";"R1, R2, R3, R4, R9, R10, R11, R12, R24, R25, R26, R32, R33, R34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"10K 1%";"R_0603";"R0603";"R14, R17, R57, R58, R59, R61, R62, R63, R65, R66, R67, R84, R93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"10uF/25V";"C_0603";"0603";"C14, C15, C16, C20, C22, C62, C64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1K 1%";"R_0603";"R0603";"R15, R19, R22, R83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K 1%";"R_1206";"R1206";"R54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"R_Open_1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k 1%";"R_0603";"R0603";"R91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF/16V";"C_0603";"0603";"C67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1uF/25V";"C_0603";"0603";"C36, C37, C40, C44, C65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2.2K 1%";"R_0603";"0603";"R29, R37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.8K 1%";"R_0603";"R0603";"R41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
