C10,2.300,0.320,0,100nF/100V,0603
C11,2.410,0.920,90,100nF/100V,0603
C12,4.130,3.290,270,100nF/ 100V,0603
C13,4.050,3.290,270,100nF/ 100V,0603
C14,3.540,3.200,270,10uF/25V,0603
C15,3.460,3.200,270,10uF/25V,0603
C16,3.380,3.200,270,10uF/25V,0603
C17,3.930,3.470,270,100nF/ 100V,0603
C19,3.190,1.240,270,100nF/ 100V,0603
C20,3.460,3.490,90,10uF/25V,0603
C21,3.380,3.490,90,100nF/ 100V,0603
C22,3.460,3.620,270,10uF/25V,0603
C23,3.380,3.620,270,100nF/ 100V,0603
C24,4.620,2.880,270,100nF/100V,0603
C25,5.530,1.890,90,100nF/100V,0603
C26,4.370,0.700,270,100nF/50V,0603
C27,4.070,0.700,270,100nF/50V,0603
C28,3.810,0.700,270,100nF/50V,0603
C29,5.140,0.370,90,100nF/50V,0603
C3,4.540,2.880,270,100nF/100V,0603
C30,5.140,0.530,270,100nF/50V,0603
C31,5.140,0.700,270,100nF/50V,0603
C32,5.140,1.190,270,100nF/50V,0603
C33,5.140,0.830,90,100nF/50V,0603
C34,5.140,1.340,270,100nF/50V,0603
C35,5.140,1.000,270,100nF/50V,0603
C36,2.700,3.685,270,1uF/25V,0603
C37,2.715,4.400,270,1uF/25V,0603
C38,2.370,3.580,270,100nF/100V,0603
C39,2.780,3.685,270,100nF/100V,0603
C4,5.095,2.930,0,100nF/100V,0603
C40,2.950,2.840,90,1uF/25V,0603
C41,3.445,2.840,90,100nF/50V,0603
C44,3.210,2.840,90,1uF/25V,0603
C49,5.170,3.520,180,100nF/ 100V,0603
C5,5.160,3.930,180,100nF/ 100V,0603
C50,4.140,2.250,180,100nF/50V,0603
C51,4.140,1.995,180,100nF/50V,0603
C53,3.525,2.840,270,100nF/50V,0603
C55,3.290,2.840,270,100nF/50V,0603
C56,2.810,2.200,0,100nF/50V,0603
C57,2.815,2.045,0,100nF/50V,0603
C58,2.810,2.280,0,100nF/50V,0603
C59,2.815,1.905,0,100nF/50V,0603
C6,2.420,0.320,0,100nF/100V,0603
C60,3.775,1.480,90,100nF/50V,0603
C61,3.615,1.480,90,100nF/50V,0603
C62,3.695,1.480,90,10uF/25V,0603
C63,3.535,1.480,90,100nF/50V,0603
C64,3.455,1.480,90,10uF/25V,0603
C65,3.375,1.480,90,1uF/25V,0603
C66,2.815,1.590,0,100nF/50V,0603
C67,3.855,1.480,90,1uF/16V,0603
C68,3.295,1.480,90,100nF/50V,0603
C7,3.110,0.330,0,100nF/100V,0603
C8,2.990,0.330,0,100nF/100V,0603
C9,3.280,1.240,270,100nF/100V,0603
D1,1.900,3.040,0,SS14,SMA
D10,2.820,1.247,0,"BAS40-04,215",SOT23-3
D11,3.880,3.690,90,SS14,SMA
D12,3.400,3.790,180,26-21/GPC-F3138B/CA,SMD1206-LED
D13,4.565,2.343,180,"BAS40-04,215",SOT23-3
D2,1.900,1.130,0,SS14,SMA
D3,4.812,3.680,270,MMBZ4696-HE3-18,SOT23-3
D4,2.540,0.208,180,PESD36VS2UT,SOT23-3
D5,2.650,0.933,180,"BAS40-04,215",SOT23-3
D6,3.230,0.218,180,PESD36VS2UT,SOT23-3
D7,3.318,0.930,90,"BAS40-04,215",SOT23-3
D8,3.178,0.930,90,"BAS40-04,215",SOT23-3
D9,2.515,0.933,180,"BAS40-04,215",SOT23-3
FID1,5.450,0.120,0,FIDUCIAL,FIDUCIAL
FID2,3.598,0.236,0,FIDUCIAL,FIDUCIAL
IC1,4.550,2.630,0,SN65HVD3082EDR,SOIC8
IC2,4.155,2.165,0,CSTNE8M00G520000R0,CSTNE8M00G520000R0
IC3,3.050,0.540,270,LT6106CS5#TRPBF,SOT-23-5
IC4,2.360,0.540,270,LT6106CS5#TRPBF,SOT-23-5
IC5,4.040,3.470,0,TPS54202DDCR,SOT23-6
IC6,3.660,3.660,90,LD1117S33TR,SOT223_LD1117S33TR
IC8,4.480,3.640,180,LM317AEMP,SOT223_LM317AEMP
L1,3.810,3.190,180,SRN8040TA-220M,SRN8040TA-220M
Q1,1.940,2.450,90,DMP6185SEQ-13,SOT223
Q10,4.320,2.730,0,BC817,SOT23
Q11,3.910,0.820,270,2N7002,SOT23
Q12,3.880,0.470,180,DMP6185SEQ-13,SOT223
Q13,4.480,0.820,270,2N7002,SOT23
Q14,4.440,0.470,180,DMP6185SEQ-13,SOT223
Q15,4.180,0.820,270,2N7002,SOT23
Q16,4.160,0.470,180,DMP6185SEQ-13,SOT223
