Qty,Value,Device,Package,Parts
7,,LED5MM,LED5MM,LED4
4,0603ESDA-24NSMD,0603ESDA-24NSMD,EIA0603,V1
11,100nF/100V,C_0603EIA0603,EIA0603,C2
8,10K 1%,R_0603,EIA0603,R1
1,10k 1%,R_0603,EIA0603,R7
4,1K 1%,R_0603,EIA0603,R8
4,1uF/35V,C_0603EIA0603,EIA0603,C1
3,7-SEG_SA39-11SRWA,7-SEG_SA39-11SRWA,SA39-11SRWA,LED1
1,74LS47N,74LS47N,DIL16,IC1
4,BC817,BC817,SOT23,Q1
3,FIDUCIAL,FIDUCIAL,FIDUCIAL,FID1
1,MICROMATCH-16,MICROMATCH-16,MICROMATCH-16,X1
4,MOUNT-PAD-ROUND3.0,MOUNT-PAD-ROUND3.0,3,
7,R_1206EIA1206,R_1206EIA1206,EIA1206,R2
