"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CHECK_PRICES";"COMMENT";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_POSITIONS";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"PRODUCT_TYPE";"PURCHASE-URL";"ROHS";"SNAPEDA_LINK";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"1";"";"C_0603EIA0603";"EIA0603";"C25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"0603ESDA-24NSMD";"0603ESDA-24NSMD";"EIA0603";"V1, V2, V3, V4, V8, V9, V10";"";"";"";"";"";"";"";"";"";"";"";"aristor 0603 SMD Bidirectional 50V 24V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0603ESDA-24N";"Bourns";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LCSC";"";"";"";"";"";
"12";"0R 1%";"R_0603";"EIA0603";"R20, R21, R44, R58, R61, R62, R63, R66, R67, R68, R92, R96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1.5K 1%";"R_0603";"EIA0603";"R40, R42, R54, R55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.8K 1%";"R_0603";"EIA0603";"R94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100K 1%";"R_0603";"EIA0603";"R1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19";"100R 1%";"R_0603";"EIA0603";"R15, R16, R17, R18, R29, R35, R36, R41, R43, R49, R50, R56, R57, R74, R77, R85, R91, R99, R100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"100nF 100V";"C_0603EIA0603";"EIA0603";"C26, C27, C29, C30, C31, C35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22";"100nF/50V";"C_0603EIA0603";"EIA0603";"C3, C4, C5, C7, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C36, C37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1050170001";"1050170001";"MOLEX_1050170001";"J1";"Check availability";"";"";"In Stock";"";"https://www.snapeda.com/parts/1050170001/Molex/view-part/?ref=eda";"";"";"";"";"";" USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle";" Through Hole ";"";"";"";"";"";"";"";"";"";"";"";"Molex";"";"";"";"";"";"";"";"";"1050170001";"";"";"";"";"None";"";"";"";"None";"";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=2755530&manufacturer=Molex&part_name=1050170001&search_term=None";"";"https://www.snapeda.com/parts/1050170001/Molex/view-part/?ref=snap";"";"";"";"";"";
