C11	43.00	16.20	270.00	0.1uF	0402
C15	42.10	18.80	180.00	100uF	C1210
C16	61.40	8.50	270.00	1uF	0402
C31	70.40	38.40	45.00	0.1uF	0402
C33	76.40	8.50	270.00	0.1uF	0402
C34	76.40	10.80	270.00	0.1uF	0402
C35	76.40	9.60	270.00	10uF	0402
C38	48.03	42.37	315.00	0.1uF	0402
C5	43.10	21.65	0.00	10uF	0402
C50	46.88	41.24	225.00	12pF	0402
C51	47.32	38.77	45.00	12pF	0402
C52	49.57	37.70	225.00	18pF	0402
C53	51.62	35.60	45.00	18pF	0402
C57	73.12	37.30	315.00	10uF	0402
C58	51.31	39.66	45.00	0.1uF	0402
C59	74.76	35.84	135.00	0.1uF	0402
C61	66.51	32.44	225.00	0.1uF	0402
C8	42.00	21.65	0.00	0.1uF	0402
J2	64.40	3.24	0.00		USB_MICRO-B
J3	48.70	14.20	90.00		USB_A_SMT
J9	25.39	92.58	180.00	SD_CARD_1140084168	AMPHENOL_1140084168
LED3	76.00	4.30	90.00	LED_0805_GREEN	LED_0805_GREEN
R1	46.10	23.50	270.00	10K0	0402
R11	8.80	56.30	180.00	1K	0402
R12	44.80	22.30	270.00	10K0	0402
R13	77.03	6.81	180.00	470R	0402
R14	10.10	56.30	180.00	1K	0402
R16	71.87	39.86	225.00	10K	0402
R17	71.18	39.17	225.00	10K	0402
R18	73.97	36.63	315.00	10K	0402
R19	52.02	38.16	135.00	2.2K	0402
R20	39.85	95.92	0.00	1K	0402
R21	41.13	95.92	0.00	1K	0402
R26	29.61	27.88	0.00	10K	0402
R27	28.64	27.88	0.00	10K	0402
R4	62.40	11.00	0.00	15K0	0402
R5	63.80	11.00	0.00	27R0	0402
R6	65.10	11.00	0.00	27R0	0402
R7	61.40	7.50	90.00	30K0	0402
U$4	27.11	27.90	0.00	10uF	0402
U2	46.40	19.60	270.00	AP2141DWG-5	SOT-23-5
U4	60.50	52.00	45.00		LQFP176_24X24
X3	44.41	39.20	45.00	32.768KHZ	SMD_X_2_PADS
X4	48.51	34.39	315.00	24MHZ	SMD_3225
