Designator,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,Footprint
C5,321.55,128.67,321.55,128.67,321.55,128.67,T,0,10uF,402
C8,320.45,128.67,320.45,128.67,320.45,128.67,T,0,0.1uF,402
C11,319.95,123.32,319.95,123.32,319.95,123.32,T,270,0.1uF,402
C15,320.55,125.92,320.55,125.92,320.55,125.92,T,180,100uF,1210
C16,336.65,116.62,336.65,116.62,336.65,116.62,T,270,1uF,402
C38,323.67,148.29,323.67,148.29,323.67,148.29,T,270,0.1uF,402
C50,323.79,147.19,323.79,147.19,323.79,147.19,T,270,12pF,402
C51,326.68,148.29,326.68,148.29,326.68,148.29,T,90,12pF,402
C52,327.85,147.25,327.85,147.25,327.85,147.25,T,270,18pF,402
C53,329.78,147.72,329.78,147.72,329.78,147.72,T,180,18pF,402
J2,338.65,111.26,338.65,111.26,338.65,111.26,T,0,USB-B-Micro,USB_MICRO-B
J3,326.65,122.32,326.65,122.32,326.65,122.32,T,90,USB-A,USB_A_SMT
J9,299.18,180.81,299.18,180.81,299.18,180.81,T,270,SD_CARD_1140084168,SD_CARD
LED3,302.45,133.02,302.45,133.02,302.45,133.02,T,270,Green,805
R1,325.25,130.92,325.25,130.92,325.25,130.92,T,270,10K0,402
R4,337.25,118.62,337.25,118.62,337.25,118.62,T,0,15K0,402
R5,338.35,118.62,338.35,118.62,338.35,118.62,T,0,27R0,402
R6,339.35,118.62,339.35,118.62,339.35,118.62,T,0,27R0,402
R7,336.65,115.52,336.65,115.52,336.65,115.52,T,90,30K0,402
R12,323.25,129.42,323.25,129.42,323.25,129.42,T,270,10K0,402
R13,299.77,132.31,299.77,132.31,299.77,132.31,T,0,470R0,402
R19,327.96,150.72,327.96,150.72,327.96,150.72,T,270,2K2,402
U2,324.85,126.72,324.85,126.72,324.85,126.72,T,270,AP2151DWG-7,SOT-23-5
U4,324.95,164.92,324.95,164.92,324.95,164.92,T,90,S7G2LQFP176,LQFP176_24X24
X3,323.75,145.48,323.75,145.48,323.75,145.48,T,90,32.768KHz,SMD_X_2_PADS
X4,328.96,144.11,328.96,144.11,328.96,144.11,T,0,24MHz,SMD_3225
