#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,410.95,85.97,-90.00,0402,2k2,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,-90.00,0402,1k5,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.47,114.01,-90.00,0402,1k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,410.45,127.72,-90.00,0402,470R0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,-90.00,0402,1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,-90.00,0402,33R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.12,168.82,-90.00,0402,0.1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.90,247.46,-90.00,0402,10k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,-90.00,0402,10uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.07,275.31,-90.00,0402,12pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.40,288.84,-90.00,0402,18pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.12,302.20,-90.00,0402,22uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.11,315.70,-90.00,0402,24pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.26,329.50,-90.00,0402,27R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,-90.00,0402,15k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.07,356.58,-90.00,0402,30k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.45,26.54,-90.00,0402,2.2uF,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,-90.00,0402,6k49,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.60,53.75,-90.00,0402,100pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,-90.00,0805,LED_GRN,2.80,0,3.70,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,-90.00,0603,FB2,3.00,0,4.20,0,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,-90.00,1008,2.2uH,1.50,0,4.10,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,-90.00,2-SMD,32.768KHz,2.20,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,-90.00,,unused,0.50,0,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.49,124.48,-90.00,3225,24MHz,2.00,0,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.37,138.17,-90.00,3225,25MHz,2.50,0,3.70,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.01,153.83,-90.00,SOT-25,AP2151,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,-90.00,SOT-323,BC846BW,3.00,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,-90.00,1210,100uF,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,142.21,74.65,0.00,QFN-24,KSZ8081,2.50,10,2.40,100,No,0,1,50,1,1,141.21,74.65,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,161.86,114.35,0.00,LQFP-176,S7G2,2.30,30,3.40,100,No,0,1,50,1,1,161.86,114.35,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,100.57,74.99,0.00,SD-CARD,SD_CARD,2.30,20,3.40,100,No,0,1,100,1,1,100.57,74.99,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,161.15,74.43,0.00,R7S3A6,R7S3A6,2.30,20,3.40,100,No,0,1,100,1,1,161.15,74.43,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,121.18,74.92,0.00,USB_B,USB_Micro,2.20,20,4.10,50,No,0,1,100,1,1,121.18,74.92,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,342.170,59.500,290.170,147.500,321.470,114.200,342.170,59.500,290.170,147.500,321.470,114.200,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,342.170,59.500,0,0,0,0,0.000000,
mirror,342.170,59.500,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID4,FIDUCIAL_1MM,FIDUCIAL_1MM,294.17,59.50,0,Yes,
comp,97,1,AFID5,FIDUCIAL_1MM,FIDUCIAL_1MM,346.17,147.50,0,Yes,
comp,97,1,AFID6,FIDUCIAL_1MM,FIDUCIAL_1MM,314.87,114.20,0,Yes,
comp,13,1,C1,24pF,0402,332.26,89.48,180,Yes,
comp,13,1,C2,24pF,0402,332.26,86.87,0,Yes,
comp,22,2,C3,100pF,0402,326.41,88.96,90,Yes,
comp,7,1,C4,0.1uF,0402,340.67,79.85,90,Yes,
comp,9,1,C5,10uF,0402,340.67,78.80,90,Yes,
comp,9,1,C6,10uF,0402,322.56,106.20,180,Yes,
comp,7,1,C7,0.1uF,0402,340.67,77.80,90,Yes,
comp,12,1,C8,22uF,0402,329.71,81.98,0,Yes,
comp,7,1,C9,0.1uF,0402,328.08,81.98,0,Yes,
comp,7,1,C10,0.1uF,0402,325.77,81.98,0,Yes,
comp,20,2,C11,2.2uF,0402,327.05,81.98,0,Yes,
comp,7,1,C12,0.1uF,0402,331.61,64.57,0,Yes,
comp,7,1,C13,0.1uF,0402,330.33,64.57,0,Yes,
comp,12,1,C14,22uF,0402,316.22,87.50,180,Yes,
comp,7,1,C15,0.1uF,0402,317.57,87.50,180,Yes,
comp,9,1,C16,10uF,0402,303.89,115.35,0,Yes,
comp,7,1,C19,0.1uF,0402,322.37,117.65,90,Yes,
comp,7,1,C20,0.1uF,0402,323.91,122.42,90,Yes,
comp,5,1,C21,1uF,0402,323.02,113.56,180,Yes,
comp,7,1,C22,0.1uF,0402,324.02,113.55,180,Yes,
comp,7,1,C24,0.1uF,0402,324.55,117.64,90,Yes,
comp,7,1,C25,0.1uF,0402,325.04,113.54,180,Yes,
comp,7,1,C27,0.1uF,0402,324.82,107.41,0,Yes,
comp,7,1,C30,0.1uF,0402,321.20,123.28,180,Yes,
comp,7,1,C34,0.1uF,0402,315.06,131.42,0,Yes,
comp,7,1,C35,0.1uF,0402,314.97,123.28,180,Yes,
comp,7,1,C36,0.1uF,0402,313.41,105.49,180,Yes,
comp,7,1,C38,0.1uF,0402,308.48,123.29,180,Yes,
comp,7,1,C39,0.1uF,0402,309.08,105.45,180,Yes,
comp,7,1,C40,0.1uF,0402,305.51,114.74,-90,Yes,
comp,5,1,C41,1uF,0402,306.73,122.34,90,Yes,
comp,7,1,C42,0.1uF,0402,304.27,111.85,90,Yes,
comp,7,1,C43,0.1uF,0402,305.88,105.44,0,Yes,
comp,24,2,FB1,FB2_603,0603,331.95,81.83,90,Yes,
comp,25,3,L1,2.2uH,1008,340.17,75.30,-90,Yes,
comp,21,1,R1,6K49,0402,326.39,89.96,-90,Yes,
comp,8,1,R2,10K0,0402,322.01,113.57,180,Yes,
comp,8,1,R3,10K0,0402,323.63,106.22,180,Yes,
comp,2,1,R4,1K5,0402,326.34,91.91,90,Yes,
comp,2,1,R6,1K5,0402,326.39,90.94,90,Yes,
comp,4,1,R7,470R0,0402,324.28,61.38,0,Yes,
comp,4,1,R8,470R0,0402,337.63,61.33,0,Yes,
comp,6,1,R9,33R0,0402,320.22,88.05,0,Yes,
comp,6,1,R10,33R0,0402,318.57,87.45,0,Yes,
comp,6,1,R11,33R0,0402,317.22,82.10,90,Yes,
comp,6,1,R12,33R0,0402,316.57,84.40,90,Yes,
comp,8,1,R13,10K0,0402,305.59,115.92,90,Yes,
comp,3,1,R14,1K0,0402,326.02,124.58,180,Yes,
comp,3,1,R15,1K0,0402,325.04,124.58,180,Yes,
comp,8,1,R23,10K0,0402,304.29,112.82,-90,Yes,
comp,8,1,R24,10K0,0402,304.28,113.78,-90,Yes,
comp,49,3,U1,KSZ8081_QFN_24,QFN-24-M,321.77,84.05,180,Yes,
comp,29,3,X1,25MHz,SMD_3225,335.32,88.31,-90,Yes,
