#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,411.01,86.00,-90.00,0402,2k2,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,-90.00,0402,1k5,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,3,0,12,411.49,113.96,-90.00,0402,1k0,0.50,0,0.00,0,No,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,4,0,12,410.41,127.78,-90.00,0402,470R0,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,-90.00,0402,1uF,0.50,0,0.00,0,No,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,-90.00,0402,33R0,0.50,0,0.00,0,No,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,7,0,12,411.23,168.83,-90.00,0402,0.1uF,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,8,0,12,411.92,247.45,-90.00,0402,10k0,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,-90.00,0402,10uF,0.50,0,0.00,0,No,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,10,0,12,411.19,275.29,-90.00,0402,12pF,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,11,0,12,411.44,288.90,-90.00,0402,18pF,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,12,0,12,411.06,302.39,-90.00,0402,22uF,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,13,0,12,411.15,315.71,-90.00,0402,24pF,0.50,0,0.00,0,Yes,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.23,329.48,-90.00,0402,27R0,0.50,0,0.00,0,Yes,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,15,0,12,342.85,344.21,-90.00,0402,15k0,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,16,0,12,356.55,357.44,-90.00,0402,30k0,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,20,0,12,23.49,26.66,-90.00,0402,2.2uF,0.50,0,0.00,0,No,0,1,100,2,50,50,No,No,-40,-40,-40,-40,
stack,21,0,12,22.82,40.31,-90.00,0402,6k49,0.50,0,0.00,0,No,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,22,0,12,23.56,53.83,-90.00,0402,100pF,0.50,0,0.00,0,No,0,1,100,2,50,40,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,-90.00,0805,LED_GRN,0.50,0,0.00,0,No,0,1,100,4,50,40,No,No,-40,-40,-40,-40,
stack,24,0,2,23.30,80.95,-90.00,0603,FB2,0.50,0,0.00,0,No,0,1,100,4,50,40,No,No,-40,-40,-40,-40,
stack,25,0,3,23.84,93.98,-90.00,1008,2.2uH,0.50,0,0.00,0,No,0,1,100,4,50,50,No,No,-40,-40,-40,-40,
stack,26,0,3,24.01,109.56,-90.00,2-SMD,32.768KHz,0.50,0,0.00,0,No,0,1,100,4,50,50,No,No,-40,-40,-40,-40,
stack,28,0,3,124.63,132.82,-90.00,3225,24MHz,0.50,0,0.00,0,No,0,1,100,4,50,40,No,No,-40,-40,-40,-40,
stack,29,0,3,25.37,138.29,-90.00,3225,25MHz,0.50,0,0.00,0,No,0,1,100,4,50,50,No,No,-40,-40,-40,-40,
stack,30,0,3,22.62,160.32,-90.00,SOT-25,AP2151,0.50,0,0.00,0,No,0,1,100,4,50,50,No,No,-40,-40,-40,-40,
stack,31,0,3,23.58,173.85,-90.00,SOT-323,BC846BW,0.50,0,0.00,0,No,0,1,100,4,50,50,No,No,-40,-40,-40,-40,
stack,49,1,3,400.00,35.00,-90.00,QFN-24,KSZ8081,0.50,0,0.00,0,No,0,1,100,1,1,400.00,35.00,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,400.00,46.00,-90.00,LQFP-176,S7G2,0.50,0,0.00,0,No,0,1,100,1,1,400.00,46.00,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,400.00,57.00,-90.00,SD-CARD,SD_CARD,0.50,0,0.00,0,No,0,1,100,1,1,400.00,57.00,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,400.00,68.00,-90.00,1210,10uF_Tant,0.50,0,0.00,0,No,0,1,100,1,1,400.00,68.00,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,400.00,79.00,-90.00,USB_B,USB_Micro,0.50,0,0.00,0,No,0,1,100,1,1,400.00,79.00,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,54.000,2.000,2.000,90.000,33.300,56.700,54.000,2.000,2.000,90.000,33.300,56.700,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,54.000,2.000,0,0,0,0,0.000000,
mirror,54.000,2.000,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID1,FIDUCIAL_1MM,FIDUCIAL_1MM,54.00,2.00,0,Yes,
comp,97,1,AFID2,FIDUCIAL_1MM,FIDUCIAL_1MM,2.00,90.00,0,Yes,
comp,97,1,AFID3,FIDUCIAL_1MM,FIDUCIAL_1MM,33.30,56.70,0,Yes,
comp,11,1,C17,18pF,0402,36.20,39.03,-90,No,
comp,11,1,C18,18pF,0402,38.13,39.50,180,No,
comp,9,1,C23,10uF,0402,29.90,20.45,0,No,
comp,7,1,C26,0.1uF,0402,28.80,20.45,0,No,
comp,5,1,C28,1uF,0402,45.00,8.40,-90,No,
comp,7,1,C29,0.1uF,0402,28.30,15.10,-90,No,
comp,52,1,C31,10uF_Tant,C1210,28.90,17.70,180,No,
comp,10,1,C32,12pF,0402,32.14,38.97,-90,No,
comp,7,1,C33,0.1uF,0402,32.02,40.07,-90,No,
comp,10,1,C37,12pF,0402,35.03,40.07,90,No,
comp,51,1,J1,SD_CARD,SD_CARD,7.53,72.59,-90,No,
comp,53,3,J7,USB-B-Micro,USB_MICRO-B,47.00,3.04,0,No,
comp,23,3,LED1,Green,0805,10.80,24.80,-90,No,
comp,4,1,R5,470R0,0402,8.12,24.09,0,No,
comp,15,2,R16,15K0,0402,45.60,10.40,0,No,
comp,14,1,R17,27R0,0402,46.70,10.40,0,No,
comp,14,1,R18,27R0,0402,47.70,10.40,0,No,
comp,8,1,R19,10K0,0402,31.60,21.20,-90,No,
comp,8,1,R20,10K0,0402,33.60,22.70,-90,No,
comp,16,1,R21,30K0,0402,45.00,7.30,90,No,
comp,1,1,R22,2K2,0402,36.31,42.50,-90,No,
comp,30,3,U2,AP2151DWG-7,SOT-23-5,33.20,18.50,-90,No,
comp,50,4,U3,S7G2LQFP176,LQFP176_24X24,33.30,56.70,90,No,
comp,28,3,X2,24MHz,SMD_3225,37.31,35.89,0,No,
comp,26,3,X3,32.768KHz,SMD_X_2_PADS,32.10,37.26,90,No,
