#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,410.95,85.97,0.00,0402,2k2,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,0.00,0402,1k5,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.47,114.01,0.00,0402,1k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,410.45,127.72,0.00,0402,470R0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,0.00,0402,1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,0.00,0402,33R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.12,168.82,0.00,0402,0.1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.90,247.46,0.00,0402,10k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,0.00,0402,10uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.07,275.31,0.00,0402,12pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.40,288.84,0.00,0402,18pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.12,302.20,0.00,0402,22uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.11,315.70,0.00,0402,24pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.26,329.50,0.00,0402,27R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,0.00,0402,15k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.07,356.58,0.00,0402,30k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.45,26.54,0.00,0402,2.2uF,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,0.00,0402,6k49,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.60,53.75,0.00,0402,100pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,90.00,0805,LED_GRN,2.80,0,3.70,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,0.00,0603,FB2,3.00,0,4.20,0,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,0.00,1008,2.2uH,1.50,0,4.10,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,0.00,2-SMD,32.768KHz,2.20,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,-90.00,,unused,0.50,0,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.49,124.48,-90.00,3225,24MHz,2.00,0,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.37,138.17,-90.00,3225,25MHz,2.50,0,3.70,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.01,153.83,90.00,SOT-25,AP2151,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,-90.00,SOT-323,BC846BW,3.00,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,90.00,1210,100uF,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,33,0,1,27.43,194.13,-90.00,0402,100K,0.50,0,0.00,0,No,0,0,100,2,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,147.99,67.11,0.00,QFN-24,KSZ8081,2.50,10,2.40,100,No,0,1,50,1,1,141.21,74.65,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,148.95,84.48,0.00,LQFP-176,S7G2,2.10,30,3.40,100,No,0,1,50,1,1,161.86,114.35,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,134.00,94.14,270.00,SD-CARD,SD_CARD,2.00,100,3.40,100,No,0,1,100,1,1,100.57,74.99,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,161.15,74.43,0.00,R7S3A6,R7S3A6,1.80,100,3.40,100,No,0,1,100,1,1,161.15,74.43,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,165.89,65.36,0.00,USB_B,USB_Micro,1.10,100,4.10,100,No,0,1,100,1,1,121.18,74.92,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,397.568,42.184,287.568,161.184,318.868,89.884,397.568,42.184,287.568,161.184,318.868,89.884,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,397.568,42.184,0,0,0,0,90.000000,
mirror,397.568,42.184,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID4,FIDUCIAL_1MM,FIDUCIAL_1MM,288.57,42.18,0,Yes,
comp,97,1,AFID5,FIDUCIAL_1MM,FIDUCIAL_1MM,398.57,161.18,0,Yes,
comp,97,1,AFID6,FIDUCIAL_1MM,FIDUCIAL_1MM,367.27,89.88,0,Yes,
comp,13,1,C1,24pF,0402,384.66,65.16,180,No,
comp,13,1,C2,24pF,0402,384.66,62.55,0,No,
comp,22,1,C3,100pF,0402,378.81,64.65,90,No,
comp,7,1,C4,0.1uF,0402,393.07,55.53,90,No,
comp,9,1,C5,10uF,0402,393.07,54.48,90,No,
comp,9,1,C6,10uF,0402,374.96,81.88,180,No,
comp,7,1,C7,0.1uF,0402,393.07,53.48,90,No,
comp,12,1,C8,22uF,0402,382.11,57.66,0,No,
comp,7,1,C9,0.1uF,0402,380.48,57.66,0,No,
comp,7,1,C10,0.1uF,0402,378.17,57.66,0,No,
comp,20,1,C11,2.2uF,0402,379.45,57.66,0,No,
comp,7,1,C12,0.1uF,0402,384.01,40.25,0,No,
comp,7,1,C13,0.1uF,0402,382.73,40.25,0,No,
comp,12,1,C14,22uF,0402,368.62,63.18,180,No,
comp,7,1,C15,0.1uF,0402,369.97,63.18,180,No,
comp,9,1,C16,10uF,0402,356.29,91.03,0,No,
comp,7,1,C19,0.1uF,0402,374.77,93.33,90,No,
comp,7,1,C20,0.1uF,0402,375.41,98.00,90,No,
comp,5,1,C21,1uF,0402,375.42,89.24,180,No,
comp,7,1,C22,0.1uF,0402,376.42,89.23,180,No,
comp,7,1,C24,0.1uF,0402,376.94,93.33,90,No,
comp,7,1,C25,0.1uF,0402,377.44,89.22,180,No,
comp,7,1,C27,0.1uF,0402,377.22,83.09,0,No,
comp,7,1,C30,0.1uF,0402,373.60,98.96,180,No,
comp,7,1,C34,0.1uF,0402,367.46,107.10,0,No,
comp,7,1,C35,0.1uF,0402,367.37,98.97,180,No,
comp,7,1,C36,0.1uF,0402,365.81,81.17,180,No,
comp,7,1,C38,0.1uF,0402,360.88,98.97,180,No,
comp,7,1,C39,0.1uF,0402,361.48,81.14,180,No,
comp,7,1,C40,0.1uF,0402,357.91,90.42,-90,No,
comp,5,1,C41,1uF,0402,359.13,98.02,90,No,
comp,7,1,C42,0.1uF,0402,356.67,87.54,90,No,
comp,7,1,C43,0.1uF,0402,358.28,81.12,0,No,
comp,24,1,FB1,FB2_603,0603,384.35,57.51,90,No,
comp,51,1,J1,SD_CARD,SD_CARD,393.24,124.20,90,No,
comp,25,1,L1,2.2uH,1008,392.57,50.98,-90,No,
comp,21,1,R1,6K49,0402,378.79,65.64,-90,No,
comp,8,1,R2,10K0,0402,374.41,89.25,180,No,
comp,8,1,R3,10K0,0402,376.03,81.90,180,No,
comp,2,1,R4,1K5,0402,378.74,67.59,90,No,
comp,2,1,R6,1K5,0402,378.79,66.62,90,No,
comp,4,1,R7,470R0,0402,376.68,37.06,0,No,
comp,4,1,R8,470R0,0402,390.03,37.01,0,No,
comp,6,1,R9,33R0,0402,372.62,63.73,0,No,
comp,6,1,R10,33R0,0402,370.97,63.13,0,No,
comp,6,1,R11,33R0,0402,369.62,57.78,90,No,
comp,6,1,R12,33R0,0402,368.97,60.08,90,No,
comp,8,1,R13,10K0,0402,357.98,91.61,90,No,
comp,3,1,R14,1K0,0402,378.42,100.27,180,No,
comp,3,1,R15,1K0,0402,377.44,100.27,180,No,
comp,8,1,R23,10K0,0402,356.69,88.50,-90,No,
comp,8,1,R24,10K0,0402,356.68,89.46,-90,No,
comp,33,1,R25,100K,0402,391.42,92.63,-90,No,
comp,33,1,R26,100K,0402,391.42,95.38,-90,No,
comp,33,1,R27,100K,0402,391.37,97.83,-90,No,
comp,4,1,R29,470R0,0402,338.51,87.02,180,No,
comp,4,1,R30,470R0,0402,338.41,74.22,180,No,
comp,3,1,R37,1k,0805,383.67,159.08,0,No,
comp,3,1,R41,1k,0805,379.37,159.08,0,No,
comp,3,1,R42,1k,0805,375.17,158.98,0,No,
comp,3,1,R43,1k,0805,383.67,141.08,0,No,
comp,3,1,R47,1k,0805,379.37,141.08,0,No,
comp,3,1,R48,1k,0805,375.17,141.08,0,No,
comp,4,1,R49,470R0,0402,338.51,63.92,180,No,
comp,4,1,R50,470R0,0402,338.71,53.92,180,No,
comp,3,1,R61,1k,0805,359.97,159.08,0,No,
comp,3,1,R65,1k,0805,355.67,159.08,0,No,
comp,3,1,R66,1k,0805,351.47,158.98,0,No,
comp,3,1,R67,1k,0805,359.97,141.08,0,No,
comp,3,1,R71,1k,0805,355.67,141.08,0,No,
comp,3,1,R72,1k,0805,351.47,141.08,0,No,
comp,3,1,R85,1k,0805,336.47,158.98,0,No,
comp,3,1,R89,1k,0805,332.17,158.98,0,No,
comp,3,1,R90,1k,0805,327.97,158.98,0,No,
comp,3,1,R91,1k,0805,336.47,141.08,0,No,
comp,3,1,R95,1k,0805,332.17,141.08,0,No,
comp,3,1,R96,1k,0805,327.97,141.08,0,No,
comp,33,1,R102,100K,0402,391.27,100.38,-90,No,
comp,33,1,R103,100K,0402,391.47,102.93,-90,No,
comp,33,1,R104,100K,0402,391.27,105.33,-90,No,
comp,33,1,R105,100K,0402,391.27,107.88,-90,No,
comp,33,1,R106,100K,0402,391.27,110.43,-90,No,
comp,33,1,R107,100K,0402,391.37,112.98,-90,No,
comp,33,1,R108,100K,0402,391.32,115.63,-90,No,
comp,3,1,R109,1k,0805,294.67,123.18,90,No,
comp,3,1,R113,1k,0805,294.67,118.88,90,No,
comp,3,1,R114,1k,0805,294.67,114.68,90,No,
comp,3,1,R115,1k,0805,312.27,123.18,90,No,
comp,3,1,R119,1k,0805,312.27,118.88,90,No,
comp,3,1,R120,1k,0805,312.37,114.68,90,No,
