#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,410.95,85.97,0.00,0402,2k2,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,0.00,0402,1k5,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.47,114.01,0.00,0402,1k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,410.45,127.72,0.00,0402,470R0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,0.00,0402,1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,0.00,0402,33R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.12,168.82,0.00,0402,0.1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.90,247.46,0.00,0402,10k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,0.00,0402,10uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.07,275.31,0.00,0402,12pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.40,288.84,0.00,0402,18pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.12,302.20,0.00,0402,22uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.11,315.70,0.00,0402,24pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.26,329.50,0.00,0402,27R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,0.00,0402,15k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.07,356.58,0.00,0402,30k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.45,26.54,0.00,0402,2.2uF,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,0.00,0402,6k49,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.60,53.75,0.00,0402,100pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,90.00,0805,LED_GRN,2.80,0,3.70,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,0.00,0603,FB2,3.00,0,4.20,0,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,0.00,1008,2.2uH,1.50,0,4.10,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,0.00,2-SMD,32.768KHz,2.20,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,-90.00,,unused,0.50,0,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.49,124.48,-90.00,3225,24MHz,2.00,0,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.37,138.17,-90.00,3225,25MHz,2.50,0,3.70,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.01,153.83,90.00,SOT-25,AP2151,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,-90.00,SOT-323,BC846BW,3.00,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,90.00,1210,100uF,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,33,0,1,27.43,194.13,-90.00,0402,100K,0.50,0,0.00,0,No,0,0,100,2,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,147.99,67.11,0.00,QFN-24,KSZ8081,2.50,10,2.40,100,No,0,1,50,1,1,141.21,74.65,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,160.37,96.14,0.00,LQFP-176,S7G2,3.00,40,3.40,100,No,0,1,50,1,1,160.37,96.14,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,134.00,94.14,270.00,SD-CARD,SD_CARD,2.00,100,3.40,100,No,0,1,100,1,1,100.57,74.99,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,161.15,74.43,0.00,R7S3A6,R7S3A6,1.80,100,3.40,100,No,0,1,100,1,1,161.15,74.43,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,165.89,65.36,0.00,USB_B,USB_Micro,1.10,100,4.10,100,No,0,1,100,1,1,121.18,74.92,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,352.130,148.880,233.130,38.880,304.430,70.180,352.130,148.880,233.130,38.880,304.430,70.180,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,352.130,148.880,0,0,0,0,0.000000,
mirror,352.130,148.880,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID4,FIDUCIAL_1MM,FIDUCIAL_1MM,235.13,148.88,-90,Yes,
comp,97,1,AFID5,FIDUCIAL_1MM,FIDUCIAL_1MM,354.13,38.88,-90,Yes,
comp,97,1,AFID6,FIDUCIAL_1MM,FIDUCIAL_1MM,282.83,70.18,-90,Yes,
comp,13,1,C1,24pF,0402,258.11,52.79,90,No,
comp,13,1,C2,24pF,0402,255.50,52.79,-90,No,
comp,22,1,C3,100pF,0402,257.59,58.64,0,No,
comp,7,1,C4,0.1uF,0402,248.48,44.38,0,No,
comp,9,1,C5,10uF,0402,247.43,44.38,0,No,
comp,9,1,C6,10uF,0402,274.83,62.49,90,No,
comp,7,1,C7,0.1uF,0402,246.43,44.38,0,No,
comp,12,1,C8,22uF,0402,250.61,55.34,-90,No,
comp,7,1,C9,0.1uF,0402,250.61,56.97,-90,No,
comp,7,1,C10,0.1uF,0402,250.61,59.28,-90,No,
comp,20,1,C11,2.2uF,0402,250.61,58.00,-90,No,
comp,7,1,C12,0.1uF,0402,233.20,53.44,-90,No,
comp,7,1,C13,0.1uF,0402,233.20,54.72,-90,No,
comp,12,1,C14,22uF,0402,256.13,68.83,90,No,
comp,7,1,C15,0.1uF,0402,256.13,67.48,90,No,
comp,9,1,C16,10uF,0402,283.98,81.16,-90,No,
comp,7,1,C19,0.1uF,0402,286.28,62.68,0,No,
comp,7,1,C20,0.1uF,0402,290.95,62.04,0,No,
comp,5,1,C21,1uF,0402,282.19,62.03,90,No,
comp,7,1,C22,0.1uF,0402,282.18,61.03,90,No,
comp,7,1,C24,0.1uF,0402,286.27,60.50,0,No,
comp,7,1,C25,0.1uF,0402,282.17,60.01,90,No,
comp,7,1,C27,0.1uF,0402,276.04,60.23,-90,No,
comp,7,1,C30,0.1uF,0402,291.91,63.85,90,No,
comp,7,1,C34,0.1uF,0402,300.05,69.99,-90,No,
comp,7,1,C35,0.1uF,0402,291.91,70.08,90,No,
comp,7,1,C36,0.1uF,0402,274.12,71.64,90,No,
comp,7,1,C38,0.1uF,0402,291.92,76.57,90,No,
comp,7,1,C39,0.1uF,0402,274.08,75.97,90,No,
comp,7,1,C40,0.1uF,0402,283.37,79.54,180,No,
comp,5,1,C41,1uF,0402,290.97,78.32,0,No,
comp,7,1,C42,0.1uF,0402,280.48,80.78,0,No,
comp,7,1,C43,0.1uF,0402,274.07,79.17,-90,No,
comp,24,1,FB1,FB2_603,0603,250.46,53.10,0,No,
comp,51,1,J1,SD_CARD,SD_CARD,317.14,44.21,0,No,
comp,25,1,L1,2.2uH,1008,243.93,44.88,180,No,
comp,21,1,R1,6K49,0402,258.59,58.66,180,No,
comp,8,1,R2,10K0,0402,282.20,63.04,90,No,
comp,8,1,R3,10K0,0402,274.85,61.42,90,No,
comp,2,1,R4,1K5,0402,260.54,58.71,0,No,
comp,2,1,R6,1K5,0402,259.57,58.66,0,No,
comp,4,1,R7,470R0,0402,230.01,60.77,-90,No,
comp,4,1,R8,470R0,0402,229.96,47.42,-90,No,
comp,6,1,R9,33R0,0402,256.68,64.83,-90,No,
comp,6,1,R10,33R0,0402,256.08,66.48,-90,No,
comp,6,1,R11,33R0,0402,250.73,67.83,0,No,
comp,6,1,R12,33R0,0402,253.03,68.48,0,No,
comp,8,1,R13,10K0,0402,284.55,79.46,0,No,
comp,3,1,R14,1K0,0402,293.21,59.03,90,No,
comp,3,1,R15,1K0,0402,293.21,60.01,90,No,
comp,8,1,R23,10K0,0402,281.45,80.76,180,No,
comp,8,1,R24,10K0,0402,282.41,80.77,180,No,
comp,33,1,R25,100K,0402,285.58,46.03,180,No,
comp,33,1,R26,100K,0402,288.33,46.03,180,No,
comp,33,1,R27,100K,0402,290.78,46.08,180,No,
comp,4,1,R29,470R0,0402,279.97,98.94,90,No,
comp,4,1,R30,470R0,0402,267.17,99.04,90,No,
comp,3,1,R37,1k,0805,352.03,53.78,-90,No,
comp,3,1,R41,1k,0805,352.03,58.08,-90,No,
comp,3,1,R42,1k,0805,351.93,62.28,-90,No,
comp,3,1,R43,1k,0805,334.03,53.78,-90,No,
comp,3,1,R47,1k,0805,334.03,58.08,-90,No,
comp,3,1,R48,1k,0805,334.03,62.28,-90,No,
comp,4,1,R49,470R0,0402,256.87,98.94,90,No,
comp,4,1,R50,470R0,0402,246.87,98.74,90,No,
comp,3,1,R61,1k,0805,352.03,77.48,-90,No,
comp,3,1,R65,1k,0805,352.03,81.78,-90,No,
comp,3,1,R66,1k,0805,351.93,85.98,-90,No,
comp,3,1,R67,1k,0805,334.03,77.48,-90,No,
comp,3,1,R71,1k,0805,334.03,81.78,-90,No,
comp,3,1,R72,1k,0805,334.03,85.98,-90,No,
comp,3,1,R85,1k,0805,351.93,100.98,-90,No,
comp,3,1,R89,1k,0805,351.93,105.28,-90,No,
comp,3,1,R90,1k,0805,351.93,109.48,-90,No,
comp,3,1,R91,1k,0805,334.03,100.98,-90,No,
comp,3,1,R95,1k,0805,334.03,105.28,-90,No,
comp,3,1,R96,1k,0805,334.03,109.48,-90,No,
comp,33,1,R102,100K,0402,293.33,46.18,180,No,
comp,33,1,R103,100K,0402,295.88,45.98,180,No,
comp,33,1,R104,100K,0402,298.28,46.18,180,No,
comp,33,1,R105,100K,0402,300.83,46.18,180,No,
comp,33,1,R106,100K,0402,303.38,46.18,180,No,
comp,33,1,R107,100K,0402,305.93,46.08,180,No,
comp,33,1,R108,100K,0402,308.58,46.13,180,No,
comp,3,1,R109,1k,0805,316.13,142.78,0,No,
comp,3,1,R113,1k,0805,311.83,142.78,0,No,
comp,3,1,R114,1k,0805,307.63,142.78,0,No,
comp,3,1,R115,1k,0805,316.13,125.18,0,No,
comp,3,1,R119,1k,0805,311.83,125.18,0,No,
comp,3,1,R120,1k,0805,307.63,125.08,0,No,
