#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,410.95,85.97,0.00,0402,2k2,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,0.00,0402,1k5,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.47,114.01,0.00,0402,1k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,410.45,127.72,0.00,0402,470R0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,0.00,0402,1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,0.00,0402,33R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.12,168.82,0.00,0402,0.1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.90,247.46,0.00,0402,10k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,0.00,0402,10uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.07,275.31,0.00,0402,12pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.40,288.84,0.00,0402,18pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.12,302.20,0.00,0402,22uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.11,315.70,0.00,0402,24pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.26,329.50,0.00,0402,27R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,0.00,0402,15k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.07,356.58,0.00,0402,30k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.45,26.54,0.00,0402,2.2uF,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,0.00,0402,6k49,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.60,53.75,0.00,0402,100pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,90.00,0805,LED_GRN,2.80,0,3.70,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,0.00,0603,FB2,3.00,0,4.20,0,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,0.00,1008,2.2uH,1.50,0,4.10,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,0.00,2-SMD,32.768KHz,2.20,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,-90.00,,unused,0.50,0,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.49,124.48,-90.00,3225,24MHz,2.00,0,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.37,138.17,-90.00,3225,25MHz,2.50,0,3.70,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.01,153.83,90.00,SOT-25,AP2151,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,-90.00,SOT-323,BC846BW,3.00,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,90.00,1210,100uF,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,33,0,1,27.43,194.13,-90.00,0402,100K,0.50,0,0.00,0,No,0,0,100,2,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,147.99,67.11,0.00,QFN-24,KSZ8081,2.50,10,2.40,100,No,0,1,50,1,1,141.21,74.65,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,160.37,96.14,0.00,LQFP-176,S7G2,3.00,40,3.40,100,No,0,1,50,1,1,160.37,96.14,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,134.00,94.14,270.00,SD-CARD,SD_CARD,2.00,100,3.40,100,No,0,1,100,1,1,100.57,74.99,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,161.15,74.43,0.00,R7S3A6,R7S3A6,1.80,100,3.40,100,No,0,1,100,1,1,161.15,74.43,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,165.89,65.36,0.00,USB_B,USB_Micro,1.10,100,4.10,100,No,0,1,100,1,1,121.18,74.92,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,352.130,148.880,233.130,38.880,304.430,70.180,352.130,148.880,233.130,38.880,304.430,70.180,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,352.130,148.880,0,0,0,0,0.000000,
mirror,352.130,148.880,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID1,FIDUCIAL_1MM,FIDUCIAL_1MM,352.13,148.88,90,Yes,
comp,97,1,AFID2,FIDUCIAL_1MM,FIDUCIAL_1MM,233.13,38.88,90,Yes,
comp,97,1,AFID3,FIDUCIAL_1MM,FIDUCIAL_1MM,304.43,70.18,90,Yes,
comp,11,1,C17,18pF,0402,322.10,73.08,0,No,
comp,11,1,C18,18pF,0402,321.63,75.01,-90,No,
comp,9,1,C23,10uF,0402,340.68,66.78,90,Yes,
comp,7,1,C26,0.1uF,0402,340.68,65.68,90,Yes,
comp,5,1,C28,1uF,0402,352.73,81.88,0,Yes,
comp,7,1,C29,0.1uF,0402,346.03,65.18,0,Yes,
comp,32,1,C31,100uF_Tant,C1210,343.43,65.78,-90,Yes,
comp,10,1,C32,12pF,0402,322.16,69.02,0,Yes,
comp,7,1,C33,0.1uF,0402,321.06,68.90,0,Yes,
comp,10,1,C37,12pF,0402,321.06,71.91,180,Yes,
comp,53,1,J7,USB-B-Micro,USB_MICRO-B,358.09,83.88,90,Yes,
comp,23,1,LED1,Green,0805,336.33,47.68,0,Yes,
comp,23,1,LED3,Green,0805,350.83,93.28,-90,Yes,
comp,23,1,LED4,Green,0805,308.33,101.08,180,Yes,
comp,23,1,LED5,Green,0805,319.33,101.08,180,Yes,
comp,23,1,LED6,Green,0805,350.83,100.32,-90,Yes,
comp,23,1,LED7,Green,0805,350.83,107.52,-90,Yes,
comp,23,1,LED8,Green,0805,329.43,100.98,180,Yes,
comp,23,1,LED9,Green,0805,339.73,100.98,180,Yes,
comp,23,1,LED10,Green,0805,350.83,128.08,-90,Yes,
comp,23,1,LED11,Green,0805,350.83,114.12,-90,Yes,
comp,23,1,LED12,Green,0805,350.83,135.02,-90,Yes,
comp,23,1,LED13,Green,0805,350.83,121.02,-90,Yes,
comp,23,1,LED14,Green,0805,286.97,103.88,180,Yes,
comp,23,1,LED15,Green,0805,350.83,142.12,-90,Yes,
comp,23,1,LED16,Green,0805,277.07,103.88,180,Yes,
comp,4,1,R5,470R0,0402,337.04,45.00,90,Yes,
comp,15,1,R16,15K0,0402,350.73,82.48,90,Yes,
comp,14,1,R17,27R0,0402,350.73,83.58,90,Yes,
comp,14,1,R18,27R0,0402,350.73,84.58,90,Yes,
comp,8,1,R19,10K0,0402,339.93,68.48,0,Yes,
comp,8,1,R20,10K0,0402,338.43,70.48,0,Yes,
comp,16,1,R21,30K0,0402,353.83,81.88,180,Yes,
comp,1,1,R22,2K2,0402,318.63,73.19,0,Yes,
comp,1,1,R28,2K2,0402,348.73,90.83,-90,Yes,
comp,4,1,R31,470R0,0402,322.83,101.08,90,Yes,
comp,4,1,R32,470R0,0402,311.73,101.08,90,Yes,
comp,4,1,R33,470R0,0402,348.73,94.88,-90,Yes,
comp,8,1,R34,10K0,0402,346.83,95.48,0,Yes,
comp,1,1,R35,2K2,0402,348.73,97.73,-90,Yes,
comp,4,1,R36,470R0,0402,348.73,101.78,-90,Yes,
comp,4,1,R51,470R0,0402,340.53,98.88,90,Yes,
comp,4,1,R52,470R0,0402,332.83,100.98,90,Yes,
comp,8,1,R53,10K0,0402,346.83,102.38,0,Yes,
comp,1,1,R54,2K2,0402,348.73,105.18,-90,Yes,
comp,4,1,R55,470R0,0402,348.73,108.78,-90,Yes,
comp,8,1,R56,10K0,0402,346.83,109.38,0,Yes,
comp,1,1,R57,2K2,0402,348.73,125.83,-90,Yes,
comp,4,1,R58,470R0,0402,348.73,129.58,-90,Yes,
comp,8,1,R59,10K0,0402,346.83,130.18,0,Yes,
comp,1,1,R60,2K2,0402,348.73,111.48,-90,Yes,
comp,4,1,R73,470R0,0402,348.73,115.58,-90,Yes,
comp,8,1,R74,10K0,0402,346.83,116.08,0,Yes,
comp,1,1,R75,2K2,0402,348.73,132.83,-90,Yes,
comp,4,1,R76,470R0,0402,348.73,136.48,-90,Yes,
comp,8,1,R77,10K0,0402,346.83,137.08,0,Yes,
comp,1,1,R78,2K2,0402,348.73,118.83,-90,Yes,
comp,4,1,R79,470R0,0402,348.73,122.38,-90,Yes,
comp,8,1,R80,10K0,0402,346.83,122.98,0,Yes,
comp,1,1,R81,2K2,0402,290.58,106.84,0,Yes,
comp,4,1,R82,470R0,0402,290.53,101.28,180,Yes,
comp,8,1,R83,10K0,0402,291.73,101.28,180,Yes,
comp,1,1,R84,2K2,0402,348.73,140.03,-90,Yes,
comp,4,1,R97,470R0,0402,348.73,143.58,-90,Yes,
comp,8,1,R98,10K0,0402,346.83,144.18,0,Yes,
comp,1,1,R99,2K2,0402,280.73,107.24,0,Yes,
comp,4,1,R100,470R0,0402,280.78,101.28,180,Yes,
comp,8,1,R101,10K0,0402,282.23,101.28,180,Yes,
comp,30,1,U2,AP2151DWG-7,SOT-23-5,342.63,70.08,0,Yes,
comp,50,4,U3,S7G2LQFP176,LQFP176_24X24,304.43,70.18,180,No,
comp,31,1,U5,NPN,SOT323,347.83,92.79,90,Yes,
comp,31,1,U8,NPN,SOT323,347.83,99.99,90,Yes,
comp,31,1,U9,NPN,SOT323,347.83,106.99,90,Yes,
comp,31,1,U18,NPN,SOT323,347.83,127.69,90,Yes,
comp,31,1,U19,NPN,SOT323,347.83,113.69,90,Yes,
comp,31,1,U20,NPN,SOT323,347.83,134.69,90,Yes,
comp,31,1,U21,NPN,SOT323,347.83,120.59,90,Yes,
comp,31,1,U28,NPN,SOT323,291.43,103.88,-90,Yes,
comp,31,1,U29,NPN,SOT323,347.83,141.79,90,Yes,
comp,31,1,U30,NPN,SOT323,281.63,103.88,-90,Yes,
comp,28,1,X2,24MHz,SMD_3225,325.24,74.19,90,Yes,
comp,26,1,X3,32.768KHz,SMD_X_2_PADS,323.87,68.98,180,Yes,
