#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,410.95,85.97,0.00,0402,2k2,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,0.00,0402,1k5,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.47,114.01,0.00,0402,1k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,410.45,127.72,0.00,0402,470R0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,0.00,0402,1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,0.00,0402,33R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.12,168.82,0.00,0402,0.1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.90,247.46,0.00,0402,10k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,0.00,0402,10uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.07,275.31,0.00,0402,12pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.40,288.84,0.00,0402,18pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.12,302.20,0.00,0402,22uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.11,315.70,0.00,0402,24pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.26,329.50,0.00,0402,27R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,0.00,0402,15k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.07,356.58,0.00,0402,30k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.45,26.54,0.00,0402,2.2uF,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,0.00,0402,6k49,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.60,53.75,0.00,0402,100pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,90.00,0805,LED_GRN,2.80,0,3.70,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,0.00,0603,FB2,3.00,0,4.20,0,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,0.00,1008,2.2uH,1.50,0,4.10,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,0.00,2-SMD,32.768KHz,2.20,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,-90.00,,unused,0.50,0,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.49,124.48,-90.00,3225,24MHz,2.00,0,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.37,138.17,-90.00,3225,25MHz,2.50,0,3.70,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.01,153.83,90.00,SOT-25,AP2151,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,-90.00,SOT-323,BC846BW,3.00,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,90.00,1210,100uF,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,142.21,74.65,0.00,QFN-24,KSZ8081,2.50,10,2.40,100,No,0,1,50,1,1,141.21,74.65,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,161.86,114.35,0.00,LQFP-176,S7G2,2.10,30,3.40,100,No,0,1,50,1,1,161.86,114.35,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,100.57,74.99,270.00,SD-CARD,SD_CARD,2.00,100,3.40,100,No,0,1,100,1,1,100.57,74.99,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,161.15,74.43,0.00,R7S3A6,R7S3A6,1.80,100,3.40,100,No,0,1,100,1,1,161.15,74.43,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,121.18,74.92,0.00,USB_B,USB_Micro,1.10,100,4.10,100,No,0,1,100,1,1,121.18,74.92,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,108.000,2.000,2.000,128.000,33.300,56.700,108.000,2.000,2.000,128.000,33.300,56.700,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,108.000,2.000,0,0,0,0,0.000000,
mirror,108.000,2.000,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID4,FIDUCIAL_1MM,FIDUCIAL_1MM,7.00,2.00,0,No,
comp,97,1,AFID5,FIDUCIAL_1MM,FIDUCIAL_1MM,113.00,128.00,0,No,
comp,97,1,AFID6,FIDUCIAL_1MM,FIDUCIAL_1MM,81.70,56.70,0,No,
comp,13,1,C1,24pF,0402,99.09,31.98,180,No,
comp,13,1,C2,24pF,0402,99.09,29.37,0,No,
comp,22,1,C3,100pF,0402,93.24,31.46,90,No,
comp,7,1,C4,0.1uF,0402,107.50,22.35,90,No,
comp,9,1,C5,10uF,0402,107.50,21.30,90,No,
comp,9,1,C6,10uF,0402,89.39,48.70,180,No,
comp,7,1,C7,0.1uF,0402,107.50,20.30,90,No,
comp,12,1,C8,22uF,0402,96.54,24.48,0,No,
comp,7,1,C9,0.1uF,0402,94.91,24.48,0,No,
comp,7,1,C10,0.1uF,0402,92.60,24.48,0,No,
comp,20,1,C11,2.2uF,0402,93.88,24.48,0,No,
comp,7,1,C12,0.1uF,0402,98.44,7.07,0,No,
comp,7,1,C13,0.1uF,0402,97.16,7.07,0,No,
comp,12,1,C14,22uF,0402,83.05,30.00,180,No,
comp,7,1,C15,0.1uF,0402,84.40,30.00,180,No,
comp,9,1,C16,10uF,0402,70.72,57.85,0,No,
comp,7,1,C19,0.1uF,0402,89.20,60.15,90,No,
comp,7,1,C20,0.1uF,0402,89.84,64.82,90,No,
comp,5,1,C21,1uF,0402,89.85,56.06,180,No,
comp,7,1,C22,0.1uF,0402,90.85,56.05,180,No,
comp,7,1,C24,0.1uF,0402,91.38,60.14,90,No,
comp,7,1,C25,0.1uF,0402,91.87,56.04,180,No,
comp,7,1,C27,0.1uF,0402,91.65,49.91,0,No,
comp,7,1,C30,0.1uF,0402,88.03,65.78,180,No,
comp,7,1,C34,0.1uF,0402,81.89,73.92,0,No,
comp,7,1,C35,0.1uF,0402,81.80,65.78,180,No,
comp,7,1,C36,0.1uF,0402,80.24,47.99,180,No,
comp,7,1,C38,0.1uF,0402,75.31,65.79,180,No,
comp,7,1,C39,0.1uF,0402,75.91,47.95,180,No,
comp,7,1,C40,0.1uF,0402,72.34,57.24,-90,No,
comp,5,1,C41,1uF,0402,73.56,64.84,90,No,
comp,7,1,C42,0.1uF,0402,71.10,54.35,90,No,
comp,7,1,C43,0.1uF,0402,72.71,47.94,0,No,
comp,24,1,FB1,FB2_603,0603,98.78,24.33,90,No,
comp,51,1,J1,SD_CARD,SD_CARD,107.67,91.01,90,No,
comp,25,1,L1,2.2uH,1008,107.00,17.80,-90,No,
comp,21,1,R1,6K49,0402,93.22,32.46,-90,No,
comp,8,1,R2,10K0,0402,88.84,56.07,180,No,
comp,8,1,R3,10K0,0402,90.46,48.72,180,No,
comp,2,1,R4,1K5,0402,93.17,34.41,90,No,
comp,2,1,R6,1K5,0402,93.22,33.44,90,No,
comp,4,1,R7,470R0,0402,91.11,3.88,0,No,
comp,4,1,R8,470R0,0402,104.46,3.83,0,No,
comp,6,1,R9,33R0,0402,87.05,30.55,0,No,
comp,6,1,R10,33R0,0402,85.40,29.95,0,No,
comp,6,1,R11,33R0,0402,84.05,24.60,90,No,
comp,6,1,R12,33R0,0402,83.40,26.90,90,No,
comp,8,1,R13,10K0,0402,72.42,58.42,90,No,
comp,3,1,R14,1K0,0402,92.85,67.08,180,No,
comp,3,1,R15,1K0,0402,91.87,67.08,180,No,
comp,8,1,R23,10K0,0402,71.12,55.32,-90,No,
comp,8,1,R24,10K0,0402,71.11,56.28,-90,No,
comp,4,1,R29,470R0,0402,52.94,53.84,180,No,
comp,4,1,R30,470R0,0402,52.84,41.04,180,No,
comp,4,1,R49,470R0,0402,52.94,30.74,180,No,
comp,4,1,R50,470R0,0402,52.94,19.14,180,No,
