"Qty";"Value";"Device";"Package";"Parts";"Description";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"PREFIX";"PRICE-1";"ROHS";"SUPPLIER-1";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VERIFICATION_VERSION";
"1";"";"C_0603EIA0603";"EIA0603";"C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0603ESDA-24NSMD";"0603ESDA-24NSMD";"EIA0603";"V2, V3, V4";"";"";"";"";"";"";"aristor 0603 SMD Bidirectional 50V 24V";"";"";"";"";"";"";"";"";"";"";"";"";"0603ESDA-24N";"Bourns";"";"";"";"";"";"";"";"";"";"";"LCSC";"";"";"";
"3";"100nF 50V";"C_0603EIA0603";"EIA0603";"C2, C3, C4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10K 1%";"R_0603";"EIA0603";"R2, R5, R8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10R 1%";"R_1206EIA1206";"EIA1206";"R3, R6, R9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source R1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1K 1%";"R_0603";"EIA0603";"R1, R4, R7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1K 1%";"R_1206EIA1206";"EIA1206";"R10, R11, R12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source R1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"26-21/GPC-F3138B/CA";"26-21/GPC-F3138B/CA";"SMD1206-LED";"D4, D5, D6";"";"";"";"";"";"";"Green SMD LED 1206, 160mcd";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"26-21/GPC-F3138B/CA";"Everlight";"";"";"";"";"50";"";"Green LED";"";"0.06";"";"LCSC";"";"";"";
"1";"282834-2";"282834-2";"TE_282834-2_0";"X4";"";"";"";"";"";"";"Connector Header Terminal Block 2 Positions, 1 Row, 2.54mm, THT";"";"";"";"";"";"";"";"";"";"";"";"";"282834-2";"TE";"";"";"";"";"";"";"";"";"0.8";"";"Digikey";"";"";"";
"8";"726386-2TE_726386-2";"726386-2TE_726386-2";"TE_726386-2";"X2, X3, X5, X6, X7, X8, X9, X10";"Terminals, Faston, GDS-Flachstecker 6.3x0.8mm, TE";"No";"Male";"Straight";"Tin";"http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F726386%7FG%7Fpdf%7FEnglish%7FENG_CD_726386_G.pdf%7F726386-2";"";"Connectors";"Terminal Blocks | Terminals";"unset";"CONN QC TAB 0.250 SOLDER";"A114371-ND";"10mm";"yes";"";"TE";"726386-2";"0";"0";"";"";"Terminals GDS-FLACHSTECK 6.3";"571-726386-2";"726386-2";"";"";"PTH_TERMINAL_8MM0_0MM8";"";"J";"";"yes";"";"+110°C";"-30°C";"0.0.0.1";
